media_id	_c1	type_name	category_name_array	tag_name_array	director_name_array	actor_name_array	country	language	pubdate	created_time	time_length	rate	fee	vip_id	is_single	is_clip	vender_name	_c18
11028546123	团团一家在帐篷下剥玉米，奶奶煮了罐罐茶，团团喝一口苦的直摇头	生活	["休闲"]	["休闲"]	NULL	NULL	NULL	NULL	2019-10-15 00:00:00	1571708166	246	0.0	0	NULL	0	0	爱奇艺	NULL
11028547923	弟弟成天在家不做事，姐姐为他好将他赶走，5年后弟弟终于成功了	生活	["情感"]	["情感"]	NULL	NULL	NULL	NULL	2019-10-17 00:00:00	1571708256	148	0.0	0	NULL	0	0	爱奇艺	NULL
11028549723	印度人既不吃牛肉，也不吃猪肉，那他们平常都在吃些什么？	生活	["美食"]	["美食"]	NULL	NULL	NULL	NULL	2019-10-19 00:00:00	1571708351	82	0.0	0	NULL	0	0	爱奇艺	NULL
11028618123	72岁老人倒药渣摔破头，儿子背着他上救护车，众多村民护送	生活	["休闲"]	["灾难意外","社会","休闲"]	NULL	NULL	NULL	NULL	2019-10-22 00:00:00	1571779864	295	0.0	0	NULL	0	0	爱奇艺	NULL
11028846723	酒店卫生间为啥用透明玻璃？管理员不小心说漏嘴的秘密，涨知识了	生活	["综合"]	["国内"]	NULL	NULL	国内	NULL	2019-10-23 00:00:00	1572301490	73	0.0	0	NULL	0	0	爱奇艺	NULL
11028848523	歧视腿短的？史上最奇葩的自行车，扛着车跑！	生活	["休闲","奇闻"]	["休闲","创意发明","国内","奇人奇事","奇闻"]	NULL	NULL	国内	NULL	2019-10-26 00:00:00	1572301562	85	0.0	0	NULL	0	0	爱奇艺	歧视腿短的？史上最奇葩的自行车，扛着车跑！
11028850323	家里养只狗狗真调皮，妈妈一干活狗狗就来捣乱	生活	["宠物"]	["宠物"]	NULL	NULL	NULL	NULL	2019-10-28 00:00:00	1572301628	288	0.0	0	NULL	0	0	爱奇艺	NULL
11029100523	家里有保温杯的注意了，好多人还不知道，学会受益终身！	生活	["综合"]	NULL	NULL	NULL	NULL	NULL	2019-10-30 00:00:00	1572904501	114	0.0	0	NULL	0	0	爱奇艺	NULL
11029102323	橘子皮加它一起蒸一蒸，感冒咳嗽就靠它，止咳化痰效果好	生活	["综合"]	NULL	NULL	NULL	NULL	NULL	2019-11-01 00:00:00	1572904567	60	0.0	0	NULL	0	0	爱奇艺	NULL
11029104123	经典老歌广场舞《天涯》歌曲豪放大气，舞蹈简单好学，附教程！	生活	["舞蹈"]	["国内","广场舞","舞蹈"]	NULL	NULL	国内	NULL	2019-11-04 00:00:00	1572904627	139	0.0	0	NULL	0	0	爱奇艺	NULL
11029339923	挤挤乐卡通小果冻，小朋友的最爱	生活	["美食"]	["国内","美食"]	NULL	NULL	国内	NULL	2019-11-06 00:00:00	1573511614	99	0.0	0	NULL	0	0	爱奇艺	NULL
11029341723	蛋糕别再出去买了，一块面瓜加6个鸡蛋，做出柔软香甜早餐蛋糕	生活	["美食"]	["美食"]	NULL	NULL	NULL	NULL	2019-11-07 00:00:00	1573511701	267	0.0	0	NULL	0	0	爱奇艺	NULL
