user_id,video_id,play_end_time,broadcast_time
100005136,11036767070,2020-10-31 14:28:35,14864
100005136,11038916468,2020-10-31 20:37:16,5175
100045437,11012141720,2020-10-31 11:13:32,52
100045437,11036353126,2020-10-31 19:08:41,11
100045437,11012348613,2020-10-31 11:13:43,1
100045437,11039890732,2020-10-31 11:13:54,53
100045437,11015704788,2020-10-31 11:12:40,1
100045437,11030832318,2020-10-31 11:06:54,3223
100045437,11012501654,2020-10-31 11:13:44,1
100045437,11012137116,2020-10-31 10:13:00,741
100063224,11028112456,2020-10-31 14:33:45,2558
100130203,11013303717,2020-10-31 10:13:38,6
100130203,11021718996,2020-10-31 19:23:10,11616
100130203,11038168614,2020-10-31 09:40:48,7564
100130203,11011921305,2020-10-31 10:24:10,58
100130203,11021076344,2020-10-31 10:02:12,8
100363113,11021718996,2020-10-31 19:38:55,49974
100449925,11021718996,2020-10-31 10:05:55,851
100449925,11022024641,2020-10-31 12:43:55,473
100659647,11028892577,2020-10-31 20:45:29,21425
100659647,11012965532,2020-10-31 16:51:07,15
100659647,11012121764,2020-10-31 11:25:35,277
100660715,11012500832,2020-10-31 09:28:49,197
100660715,11014562243,2020-10-31 13:49:06,6
100660715,11012137116,2020-10-31 09:45:07,22
100660715,11028680950,2020-10-31 13:26:45,1734
100660715,11022872367,2020-10-31 13:27:13,35
100660715,11012633909,2020-10-31 09:44:18,924
100660715,11012136351,2020-10-31 09:25:22,2235
100660715,11011920831,2020-10-31 13:27:28,6513
100660715,11012892138,2020-10-31 13:48:38,1243
100660715,11030186363,2020-10-31 07:59:32,4177
100660715,11015694387,2020-10-31 19:50:45,5149
100691508,11038729512,2020-10-30 22:12:39,2656
100740754,11038469092,2020-10-31 20:15:19,10800
100797004,11040045777,2020-10-31 15:52:25,125
100797004,11034373156,2020-10-31 15:49:55,314
100797004,11040069116,2020-10-31 15:44:40,72
100797004,11040070818,2020-10-31 15:43:27,106
100797004,11040073086,2020-10-31 15:50:07,8
100797004,11012478161,2020-10-31 15:55:52,178
100797004,11040019876,2020-10-31 15:32:27,22
100812264,11012104703,2020-10-31 13:07:30,239
100812264,11029364831,2020-10-31 20:12:52,18916
100848942,11013817490,2020-10-31 12:25:49,950
100848942,11029833436,2020-10-31 12:09:02,82
100848942,11038469092,2020-10-31 12:09:27,84
101059424,11012892247,2020-10-30 21:51:58,2016
101059765,11025017875,2020-10-31 10:05:15,310
101111964,11012965532,2020-10-31 10:55:30,1216
101111964,11021718996,2020-10-31 20:27:45,230
101111964,11012136901,2020-10-31 18:58:20,28870
101111964,11038469092,2020-10-31 19:57:15,6
101140139,11012130198,2020-10-31 09:12:25,37
