0	亲子
1	休闲
2	健康
3	偶像
4	其他
5	冒险
6	军旅
7	农村
8	剧情
9	动作
10	动画
11	动画电影
12	历史
13	古装
14	喜剧
15	奇幻
16	奇闻
17	宠物
18	年代
19	快讯
20	悬疑
21	情感
22	我的世界
23	战争
24	手机游戏
25	搞笑
26	教育
27	新车
28	早教
29	服饰
30	欧洲
31	王者荣耀
32	生活
33	用车
34	电子竞技
35	益智
36	秀场
37	秋冬
38	童话
39	综合
40	网络剧
41	网络游戏
42	美食
43	舞蹈
44	花絮
45	英雄联盟
46	试驾
47	谍战
48	资讯
49	都市
50	魔幻
