video_id,video_title,video_one_level_classification,video_two_level_classification_list,video_tag_list,director_list,actor_list,country,language,release_date,storage_time,video_time,score,is_paid,package_id,is_single,is_trailers,supplier,introduction,number_of_plays_in_30_days,number_of_views_within_30_days,number_of_plays_in_14_days,number_of_views_within_14_days,number_of_plays_in_7_days,number_of_views_within_7_days,number_of_plays_in_3_days,number_of_views_within_3_days,abs_of_number_of_days_between_storage_and_current,number_of_times_purchased_within_30_days,number_of_times_purchased_within_14_days,number_of_times_purchased_within_7_days,number_of_times_purchased_within_3_days,number_of_times_purchased_total
680835.0,"美军 \"鱼鹰\"运输机首次飞至东京首都圈",军事,[综合],[邻边],"","","","",2014-07-17 00:00:00,2015-03-10 09:21:30,31.0,NaN,0.0,NaN,0.0,0.0,爱奇艺,更多高清拉风武器视频请关注爱奇艺军事，点击客户端下“更多”或直接访问爱奇艺网页版军事频道，也可关注爱奇艺军事官方微博，微博没有广告哦！,"","","","","","","","",1871,"","","","",""
704835.0,该怎么吃动物性食物 鱼肉是最好的,健康,[预防],[疾病预防],"","","","",2015-02-09 00:00:00,2015-03-10 09:36:33,690.0,NaN,0.0,NaN,0.0,0.0,爱奇艺,该怎么吃动物性食物 ，鱼肉是最好的,"","","","","","","","",1871,"","","","",""
722235.0,日本着手进行南中国海巡逻 挑衅中国防识区,军事,[综合],[邻边],"","","","",2015-02-12 00:00:00,2015-03-10 09:46:38,174.0,NaN,0.0,NaN,0.0,0.0,爱奇艺,"","","","","","","","","",1871,"","","","",""
730035.0,威震“海王星” 海豹部队击毙本·拉登,军事,[综合],[战役解析],"","","","",2015-01-06 00:00:00,2015-03-10 09:51:00,168.0,NaN,0.0,NaN,0.0,0.0,爱奇艺,"","","","","","","","","",1871,"","","","",""
752835.0,榴莲含糖量最高 西瓜竟最低,健康,[综合],[常识],"","","","",2013-07-26 00:00:00,2015-03-10 10:03:44,82.0,NaN,0.0,NaN,0.0,0.0,爱奇艺,榴莲含糖量最高，西瓜竟最低。,"","","","","","","","",1871,"","","","",""
839235.0,克里米亚将驻轰炸机团：俄或派出图-22,军事,[综合],[欧美],"","",欧美,"",2014-12-15 00:00:00,2015-03-10 10:50:22,267.0,NaN,0.0,NaN,0.0,0.0,爱奇艺,更多高清拉风武器视频请关注爱奇艺军事，点击客户端下“更多”或直接访问爱奇艺网页版军事频道，也可关注爱奇艺军事官方微博，微博没有广告哦!,"","","","","","","","",1871,"","","","",""
848835.0,全数控操作：土耳其阿古斯塔AW-149直升机劲赏,军事,[空军],[空军],"","","","",2014-11-20 00:00:00,2015-03-10 10:55:31,84.0,NaN,0.0,NaN,0.0,0.0,爱奇艺,更多高清拉风武器视频请关注爱奇艺军事，点击客户端下“更多”或直接访问爱奇艺网页版军事频道，也可关注爱奇艺军事官方微博，微博没有广告哦！,"","","","","","","","",1871,"","","","",""
881835.0,健康饮水 喝水须知,健康,[综合],[常识],"","","","",2013-12-21 00:00:00,2015-03-10 11:13:02,33.0,NaN,0.0,NaN,0.0,0.0,爱奇艺,健康饮水 ，喝水须知。,"","","","","","","","",1871,"","","","",""
946035.0,马季老师的案例 生风的因素,健康,[预防],[疾病预防],"","","","",2013-07-20 00:00:00,2015-03-10 11:47:36,345.0,NaN,0.0,NaN,0.0,0.0,爱奇艺,马季老师的案例：生风的因素。,"","","","","","","","",1871,"","","","",""
1037835.0,健康减肥 长期服用减肥药有风险,健康,[综合],[常识],"","","","",2014-01-09 00:00:00,2015-03-10 12:39:20,132.0,NaN,0.0,NaN,0.0,0.0,爱奇艺,健康减肥 长期服用减肥药有风险,"","","","","","","","",1871,"","","","",""
1067235.0,教你自测双脚血管的好坏 建议早发现早治疗,健康,[心脑],[心脑保健],"","","","",2015-01-29 00:00:00,2015-03-10 12:54:45,271.0,NaN,0.0,NaN,0.0,0.0,爱奇艺,教你自测双脚血管的好坏， 专家建议早发现早治疗,"","","","","","","","",1871,"","","","",""
